,企業名,キャッチコピー,ステータス,初年度年収
79,日本総合システム株式会社 | アサヒ飲料、サントリー、明治…など大手顧客への導入実績多数！,業界トップクラスのシェアを持つ自社パッケージに携われる【PL】 正社員,正社員,550万円～750万円
80,株式会社デジック | 東京で自由度高くプロフェッショナル集団を目指す！,東京勤務【SE】独立系SI／20年以上のノウハウでドコデモ開発を 正社員,正社員,360万円～648万円
81,株式会社H・Iシステック | 取引先はジェイデバイスや三菱電機等、大手企業多数！,★有休もとりやすい環境！モノづくり企業を支える【ルート営業】 正社員,正社員,
82,株式会社北海道キューブシステム | 株式会社キューブシステム（東証一部上場）のグループ会社,【ITエンジニア】☆U・Iターン入社実績多数 ☆Web面接可能！ 正社員,正社員,340万円～560万円
83,株式会社イフ | 業界内で存在感をもつパイオニア企業です！,【キャリアアドバイザー】★未経験スタートの先輩が多数活躍！ 正社員,正社員,350万円～420万円
84,株式会社イフ | 業界内で存在感をもつパイオニア企業/完全週休2日/年間休日122日,【提案営業】★自社メディアなどを活用した採用サポート 正社員,正社員,350万円～450万円
85,有限会社キャリアボックス | ＜富士通グループのパートナー企業＞土日祝休み／年休121日,未経験OK！【ITエンジニア】◇将来のリーダー候補としての採用 正社員,正社員,350万円～450万円
86,ジャパン・イーエム・ソリューションズ株式会社 | 【富士通にルーツにもつ優良企業】完全週休2日制（土日祝）,Made in Japanのものづくりを支える【購買】◎年間休日125日 正社員,正社員,300万円～600万円
87,株式会社天公システム | ★拡大中の外資系コンサル企業／年休120日以上／完休2日(土日祝),＼東京募集／ITエンジニアのハイクラス採用の【中途採用担当】 正社員,正社員,300万円～500万円
88,株式会社テクノプロ | 【テクノプロ・エンジニアリング社】※年間休日123日,上流工程にも挑戦できる！【ITインフラエンジニア】★広島勤務 正社員,正社員,400万円～600万円
89,株式会社テクノプロ | 【テクノプロ・エンジニアリング社】※年間休日123日,【開発エンジニア(SE/PG)】★広島勤務／テレワーク案件もあり 正社員,正社員,400万円～600万円
90,株式会社天公システム | ★拡大中の外資系コンサル企業／年休120日以上／完休2日(土日祝),業務のスペシャリスト集団【Python開発エンジニア】★外資系企業 正社員,正社員,400万円～800万円
91,株式会社天公システム | ★拡大中の外資系コンサル企業／年休120日以上／完休2日(土日祝),ITプロジェクトを推進する【営業職】★外資系企業 正社員,正社員,400万円～600万円
92,株式会社マルニックス | 【創立以来約40年以上黒字経営】産業機器向けハーネスメーカー,【設計・技術職】★年間休日122日★実務未経験歓迎※転勤なし 正社員,正社員,500万円～750万円
93,株式会社マルニックス | 【創立以来約40年以上黒字経営】産業機器向けハーネスメーカー,グローバル企業で活躍【製品製造責任者】★年休122日※転勤なし 正社員,正社員,500万円～750万円
94,株式会社マルニックス | 創業以来黒字経営を継続！自己資本比率60％以上／グローバル企業,※大阪勤務※国内有数のハーネスメーカーで活躍【営業職】 正社員,正社員,400万円～800万円
95,株式会社マルニックス | 創業以来黒字経営を継続！自己資本比率60％以上／グローバル企業,※埼玉勤務※国内有数のハーネスメーカーで活躍【営業職】 正社員,正社員,400万円～800万円
96,株式会社コスモウェーブ | オブジェクト指向開発に定評！最先端開発技術に携われる！,独立系ソフトハウスの【システムエンジニア】★優秀な社員が多数 正社員,正社員,300万円～600万円
97,株式会社キタムラコンピュータ | 100％元請け！転勤、他会社への出向なし！将来のリーダー募集☆,オフィスシステムなどの開発【SE】★完全週休2日★年間休日125日 正社員,正社員,300万円～450万円
98,株式会社マルニックス | 創業以来黒字経営を継続！自己資本比率60％以上／グローバル企業,年休122日／初年度年収700万円以上可！【生産技術】★転勤なし 正社員,正社員,700万円～850万円
99,アイピーシステム株式会社 | 富士通／ベネッセ／NTTデータグループ各社など大手企業と取引◎,【 PL/PM(幹部候補) 】残業平均17.8h／年休実質125日～！ 正社員,正社員,400万円～600万円
100,アイピーシステム株式会社 | 富士通／ベネッセ／NTTデータグループ各社など大手企業と取引◎,【 システムエンジニア 】残業平均17.8h／年休実質125日～！ 正社員,正社員,400万円～600万円
101,アイピーシステム株式会社 | 【創業以来無借金経営！富士通・ベネッセなど大手企業と取引◎】,【ITエンジニア(PG)】残業平均17.8h／年休実質125日~！ 正社員,正社員,400万円～600万円
102,株式会社NDKCOM | 【開発経験が無い】【IT知識に不安あり】ぜひ一度ご応募下さい！,取引先は、自治体・行政など官公庁！【サポートスタッフ】 正社員,正社員,
103,有限会社にのせ電子 | 基本土日祝休み/UIターン歓迎/大手メーカーとの取引中心◎,年齢・学歴不問！【組立スタッフ】年休125日◎転勤なし！ 正社員,正社員,200万円～240万円
104,株式会社メディカルクリエイト | 【医療業界の進化・発展を支える成長企業！】,自社パッケージソフトの開発で“やりがい”◎【ITエンジニア】 正社員,正社員,
105,トーカドエナジー株式会社 | ◆富士通やパナソニックなど大手案件多数◆業界トップクラス,バッテリーパックメーカーの【経理】★管理職も目指せる 正社員,正社員,350万円～500万円
106,株式会社ケイケンシステム | 独立系ソフトウェア開発企業◆駅チカ好立地◆残業月平均20h程度,【ITエンジニア】年休125日◇土日祝休み◇賞与年5.0ヶ月分 正社員,正社員,280万円～650万円
107,ビープラッツ株式会社 | 【東証マザーズ上場】大手企業向けSaaS型プラットフォームを提供,最新技術で自社サービスの開発に挑戦！【WEBエンジニア】 正社員,正社員,400万円～850万円
108,ビープラッツ株式会社 | 【東証マザーズ上場】大手企業向けSaaS型プラットフォームを提供,最新技術で自社サービスの開発に挑戦！【プロダクトエンジニア】 正社員,正社員,400万円～850万円
109,ビープラッツ株式会社 | 【東証マザーズ上場】大手企業向けSaaS型プラットフォームを提供,製造業のビジネスモデルチェンジに貢献！【営業】 正社員,正社員,400万円～700万円
110,ビープラッツ株式会社 | 【東証マザーズ上場】大手企業向けSaaS型プラットフォームを提供,最新技術で自社サービスの開発に挑戦！【PL/PM】 正社員,正社員,600万円～1000万円
111,ビープラッツ株式会社 | 【東証マザーズ上場】大手企業向けSaaS型プラットフォームを提供,最新技術で自社製品の開発に挑戦！【プロダクトマネージャー】 正社員,正社員,600万円～1000万円
112,ビープラッツ株式会社 | 【東証マザーズ上場】大手企業向けSaaS型プラットフォームを提供,製造業のビジネスモデルチェンジに貢献！【営業マネージャー】 正社員,正社員,600万円～1000万円
113,株式会社NIT | 通信ソフトウェアの開発を中心に事業展開／年有給取得平均12日,【ネットワークエンジニア】★月平均残業20h未満★年間休日124日 正社員,正社員,300万円～675万円
114,株式会社NIT | 通信ソフトウェアの開発を中心に事業展開／年有給取得平均12日,【サーバーエンジニア】★年間休日124日★月平均残業20h未満 正社員,正社員,300万円～675万円
115,株式会社NIT | 通信ソフトウェアの開発を中心に事業展開／年有給取得平均12日,【アプリケーションエンジニア】★年休124日★月平均残業20h未満 正社員,正社員,310万円～675万円
116,岸本無線工業株式会社 | 近畿地方整備局や大阪航空局から表彰◆大阪府緊急雇用対策に賛同,【電気施工管理】国土交通省からの元請け案件メイン◎年休124日 正社員,正社員,400万円～700万円
117,株式会社天公システム | 中国のビジネス展開に精通した人材を擁するコンサルティング企業,＼名古屋募集／【人事（中途担当）】★外資系企業★年休120日 正社員,正社員,
118,株式会社天公システム | 中国のビジネス展開に精通した人材を擁するコンサルティング企業,【人事（新卒担当）】★年間休日120日以上！経験者採用！ 正社員,正社員,
119,株式会社アルチザネットワークス | 【東証二部上場】5G需要で成長中◆NTTドコモと取引◆Web面接OK,国内トップクラスのシェアを誇る企業で活躍！【経理】管理職候補 正社員,正社員,600万円～800万円
120,株式会社Mediowl | 【大手ゲーム会社や出版社等と取引多数！】★年間休日120日以上,【Webデザイナー】★リモートワーク可★月給30万円可★土日祝休 正社員,正社員,300万円～500万円
