,キャッチコピー,ステータス,企業名,初年度年収
71,＼自社内開発増加中／【 ITエンジニア 】完全週休2日／年休125日 正社員,正社員,アクティス・ジャパン株式会社 | ＜WEB面接対応中＞社員が幸せになれる会社を目指しています！,350万円～650万円
72,【サポートエンジニア】年間休日125日／残業月10時間未満 正社員,正社員,フジモト株式会社 | 設立55年！飲食・小売業に特化し保守サービスを提供する安定企業,280万円～350万円
73,官公庁案件多数の安定企業！【システム営業】★業界未経験OK 正社員,正社員,株式会社FSK | 残業月20時間程度／土日祝休み／充実の手当＆福利厚生,
74,【ITエンジニア(開発・インフラ)】※月給30万-60万円/経験者優遇 正社員,正社員,株式会社ソルコム | #現在テレワークも実施中#年間休日123日実績#残業少なめ,400万円～800万円
75,未経験歓迎・日勤勤務【工場内作業スタッフ】入社祝い金20万円有 正社員,正社員,FUJITSU UT株式会社 | 完全週休二日制(土日休)／残業10時間以内／面接1回・6月入社歓迎,
76,経験者採用・日勤勤務【生産管理スタッフ】入社祝い金20万円有 正社員,正社員,FUJITSU UT株式会社 | 完全週休二日制(土日休)／残業少なめ／月給20万円以上も可能！,250万円～400万円
77,【電気通信工事スタッフ】◎月給25万円以上◎希望休がとりやすい 正社員,正社員,株式会社双栄電通 | 誰もが知る大手企業と取引多数◆景気の波に左右されず安定性◎,300万円～450万円
78,業界TOPクラスの専門商社で働く【ルート営業】★人物重視の採用 正社員,正社員,イシグロ株式会社 | 【創業81年/配管機材の専門商社】◆年休120日 ◆昨年賞与5ヵ月分,320万円～400万円
79,【技術スタッフ（電気）】★未経験からスタートできるチャンス！ 正社員,正社員,富士電子システム株式会社 | ＊コロナ禍でも業績安定＊主要取引先は富士通グループ＊完休2日,300万円～450万円
80,【総合職（ITエンジニア／導入・サポート）】▼100%自社内開発 正社員,正社員,アイシグリーンシステム株式会社 | 【2021年11月 自社ビル完成予定！】現在福岡市博多区に建設中,
81,働く環境で探すなら!【インフラ系エンジニア・SE】※賞与4.5ヶ月 正社員,正社員,株式会社エフ・エム | #WEB面談#年休125日#リモート案件あり#大阪府緊急雇用対策に賛同,350万円～600万円
82,人物重視◎【電気通信工事スタッフ】土日祝休み＆長期連休が自慢 正社員,正社員,サン電通株式会社 | 転勤なし！電力を支える安定企業◎10年以上決算賞与支給中です◎,320万円～420万円
83,未経験OK！“デジタルネイティブ世代”が活躍中の【IT営業】 正社員,正社員,株式会社エーシーエス | 県内屈指の安定性・知名度を誇る《両毛丸善グループ》のIT企業！,
84,便利で安心なオフィスを叶える【提案営業】賞与年2回＋特別賞与 正社員,正社員,株式会社イナハラ | 【7/3マイナビ転職フェア神戸出展】創業から94年の地域密着企業,
85,IT＆WEB完全未経験でもOK！【ITエンジニア】土日祝休★10月入社 正社員,正社員,株式会社情報技術センター | 年休125日◆残業月20H以内◆賞与年3回◆フレックスタイム制度有,300万円～600万円
86,女性スタッフ活躍中！【営業（オフィス製品・印刷営業）】 正社員,正社員,株式会社ダイビス | 【大阪府緊急雇用対策に賛同】大阪市の専門商社｜産育休実績あり,
87,栃木からIT業界を盛り上げる！ 業績好調企業【会計ソフト開発】 正社員,正社員,株式会社ケイエムシー | 土日祝日休み｜年間休日120日｜経験が活きる｜昇給制度あり◎,350万円～450万円
88,一大プロジェクトを支える！金融証券系の【システムエンジニア】 正社員,正社員,株式会社テクノ情報システム | 創業以来、全期黒字経営！◆定着率は95％以上！◆年休125日,300万円～600万円
89,小中学生対象の補習系『学習塾』の【運営スタッフ】★年休120日 正社員,正社員,楽穏技研株式会社 | <RAKUONGIKEN>青森県内で先駆けて、教えない塾「松陰塾」を運営,250万円～400万円
90,100％プライム案件！【ITエンジニア（インフラ・ストレージ）】 正社員,正社員,アファーム・ビジネスパートナーズ株式会社 | リモートワークメイン！中途社員9割！残業ほぼゼロ！,500万円～800万円
91,業界トップクラスのシェアを持つ自社パッケージに携われる【PL】 正社員,正社員,日本総合システム株式会社 | アサヒ飲料、サントリー、明治…など大手顧客への導入実績多数！,550万円～750万円
92,大手企業への導入実績多数！自社パッケージに携わる【SE】 正社員,正社員,日本総合システム株式会社 | 【コロナ禍でも増収増益見込み】☆残業月10h☆男性の育休実績有,450万円～700万円
93,【セキュリティエンジニア】★インフラ構築のさらに先へ！ 正社員,正社員,株式会社アリス | ◆年間休日123日 ◆残業月平均20H ◆技術力を強みに設立20年！,350万円～720万円
94,【インフラエンジニア】★前給原則考慮！ 正社員,正社員,株式会社アリス | ◆年間休日123日 ◆残業月平均20H ◆技術力を強みに設立20年！,350万円～720万円
95,上場企業メーカーの【経理】★メンバークラス～リーダー候補 正社員,正社員,株式会社アルメディオ | 東証2部上場／国立駅徒歩1分／年間休日125日／福利厚生充実,350万円～600万円
96,幅広い案件実績あり！【開発エンジニア】★前職給与考慮 正社員,正社員,株式会社アリス | ◆年間休日123日 ◆残業月平均20H ◆技術力を強みに設立20年！,350万円～720万円
97,【脆弱性診断エンジニア】★脆弱性診断の経験不問！★土日祝休み 正社員,正社員,株式会社アリス | ◆年間休日123日 ◆残業月平均20H ◆技術力を強みに設立20年！,350万円～720万円
98,年齢問わず経験者を募集！【経理】◇外資系企業◇年休120日以上 正社員,正社員,株式会社天公システム | 最先端の技術力で常に時代をリードし「夢とロマン」の実現へ,400万円～550万円
99,＼名古屋募集／【人事（中途担当）】★外資系企業★年休120日 正社員,正社員,株式会社天公システム | 中国のビジネス展開に精通した人材を擁するコンサルティング企業,
100,【アプリ開発エンジニア】◆外資系企業◆年休120日以上 正社員,正社員,株式会社天公システム | 最先端の技術力で常に時代をリードし「夢とロマン」の実現へ,420万円～960万円
101,【クラウドインフラエンジニア】◇外資系企業◇年休120日以上 正社員,正社員,株式会社天公システム | 最先端の技術力で常に時代をリードし「夢とロマン」の実現へ,450万円～1100万円
102,医療系ゴム部品の【生産技術】年休120日/ワークライフバランス◎ 正社員,正社員,興国インテック株式会社 | 新工場＆新独身寮を建設中！福利厚生充実《昼食補助・社宅制度》,400万円～650万円
103,締結部品のリーディング企業で活躍！【リベット・ナットの設計】 正社員,正社員,ポップリベット・ファスナー株式会社 | 離職率3％以下／平均勤続年数16年／年休126日／有休消化率100％,365万円～550万円
104,《前給考慮》【エンジニア（開発・インフラ）】フルフレックス制 正社員,正社員,株式会社アイオス | ◆東証一部上場企業・クレスコグループ◆年間休日125日,350万円～750万円
105,締結部品のリーディング企業で活躍！【生産設備の保全担当】 正社員,正社員,ポップリベット・ファスナー株式会社 | 離職率3％以下／平均勤続年数16年／年休126日／有休消化率100％,365万円～550万円
